query_id	entrez_gene_id	gene_symbol_norm
loo_1000869_0	64087	MCCC2
loo_10022151_3	5979	RET
loo_10022408_5	190	NR0B1
loo_10022408_7	190	NR0B1
loo_10022821_4	1029	CDKN2A
loo_10024914_1	4210	MEFV
loo_10025146_1	5080	PAX6
loo_10025146_5	5080	PAX6
loo_10026167_6	2542	SLC37A4
loo_10026167_7	2542	SLC37A4
loo_10027910_1	1278	COL1A2
loo_10029606_3	212	ALAS2
loo_10029887_0	1756	DMD
loo_100330_1	6609	SMPD1
loo_10036587_0	7276	TTR
loo_10049954_2	2706	GJB2
loo_10050655_0	1080	CFTR
loo_10050893_0	1861	TOR1A
loo_10050893_9	1861	TOR1A
loo_10051640_2	324	APC
loo_10051640_4	324	APC
loo_10053004_3	4338	MOCS2
loo_10053007_1	3848	KRT1
loo_10053113_8	672	BRCA1
loo_10053113_17	672	BRCA1
loo_10065021_1	4625	MYH7
loo_10071056_1	4359	MPZ
loo_10071056_7	4359	MPZ
loo_10071321_1	1294	COL7A1
loo_10071321_2	1294	COL7A1
loo_10071711_2	348	APOE
loo_10072428_0	999	CDH1
loo_10072428_1	999	CDH1
loo_10072634_2	730	C7
loo_10072634_6	735	C9
loo_10077655_2	4023	LPL
loo_10077726_4	4715	NDUFB9
loo_10077726_7	4715	NDUFB9
loo_10077726_8	4715	NDUFB9
loo_10078568_2	4160	MC4R
loo_10078568_5	4160	MC4R
loo_10078568_6	4160	MC4R
loo_10078969_1	5376	PMP22
loo_10079181_1	6247	XLRS1
loo_10080180_3	4000	LMNA
loo_1008071_4	4125	MAN2B1
loo_10084318_0	3849	KRT2
loo_10084318_1	3849	KRT2
loo_10084607_7	3973	LHCGR
loo_10084607_15	3973	LHCGR
loo_10086790_6	5277	PIG-A
loo_10086790_7	5277	PIG-A
loo_10089913_1	1536	CYBB
loo_10090474_0	158	ADSL
loo_10090474_8	158	ADSL
loo_10090481_7	5663	PSEN1
loo_10090889_0	4524	MTHFR
loo_10094187_2	6197	RPS6KA3
loo_10094189_8	4669	NAGLU
loo_10094443_6	1373	CPS1
loo_10094443_7	5009	OTC
loo_10096247_3	5728	PTEN
loo_10098145_2	5009	OTC
loo_10103316_0	1080	CFTR
loo_10103316_1	1080	CFTR
loo_10188904_3	5728	PTEN
loo_10188904_5	5728	PTEN
loo_10189221_2	1760	DMPK
loo_10189236_0	1589	CYP21B
loo_10190329_7	4292	MLH1
loo_10190918_0	54658	UGT1A1
loo_10191107_6	5538	CLN1
loo_10191107_7	5538	CLN1
loo_10191107_13	5538	CLN1
loo_10191110_1	1200	CLN2
loo_10191110_3	1200	CLN2
loo_10191125_0	256471	CLN7
loo_10192386_11	3459	IFNGR1
loo_10192386_14	3459	IFNGR1
loo_10192456_3	7454	WASP
loo_10193261_0	6833	ABCC8
loo_10196371_0	4436	HMSH2
loo_10196377_0	8291	DYSF
loo_10196377_1	8291	DYSF
loo_10196377_4	8291	DYSF
loo_10196384_0	2074	ERCC6
loo_10200056_1	100	ADA
loo_10200300_3	355	CD95
loo_10200983_0	1287	COL4A5
loo_10200983_2	1287	COL4A5
loo_10200983_5	1287	COL4A5
loo_10202375_1	335	APOA1
loo_10202375_3	335	APOA1
loo_10202864_2	3973	LHCGR
loo_10202939_0	4137	MAPT
