entrez_gene_id	gene_symbol	gene_token
64087	MCCC2	<|PhenoGemini-Special-Token-Entrez-ID-64087|>
5979	RET	<|PhenoGemini-Special-Token-Entrez-ID-5979|>
7068	THRB	<|PhenoGemini-Special-Token-Entrez-ID-7068|>
190	NR0B1	<|PhenoGemini-Special-Token-Entrez-ID-190|>
2798	GNRHR	<|PhenoGemini-Special-Token-Entrez-ID-2798|>
3293	HSD17B3	<|PhenoGemini-Special-Token-Entrez-ID-3293|>
7157	TP53	<|PhenoGemini-Special-Token-Entrez-ID-7157|>
1029	CDKN2A	<|PhenoGemini-Special-Token-Entrez-ID-1029|>
1019	CDK4	<|PhenoGemini-Special-Token-Entrez-ID-1019|>
5925	RB1	<|PhenoGemini-Special-Token-Entrez-ID-5925|>
4210	MEFV	<|PhenoGemini-Special-Token-Entrez-ID-4210|>
3077	HFE	<|PhenoGemini-Special-Token-Entrez-ID-3077|>
2153	F5	<|PhenoGemini-Special-Token-Entrez-ID-2153|>
4524	MTHFR	<|PhenoGemini-Special-Token-Entrez-ID-4524|>
5080	PAX6	<|PhenoGemini-Special-Token-Entrez-ID-5080|>
1830	DSG3	<|PhenoGemini-Special-Token-Entrez-ID-1830|>
1828	DSG1	<|PhenoGemini-Special-Token-Entrez-ID-1828|>
2542	SLC37A4	<|PhenoGemini-Special-Token-Entrez-ID-2542|>
224	ALDH3A2	<|PhenoGemini-Special-Token-Entrez-ID-224|>
2160	F11	<|PhenoGemini-Special-Token-Entrez-ID-2160|>
2147	F2	<|PhenoGemini-Special-Token-Entrez-ID-2147|>
2175	FANCA	<|PhenoGemini-Special-Token-Entrez-ID-2175|>
1278	COL1A2	<|PhenoGemini-Special-Token-Entrez-ID-1278|>
7450	VWF	<|PhenoGemini-Special-Token-Entrez-ID-7450|>
5324	PLAG1	<|PhenoGemini-Special-Token-Entrez-ID-5324|>
212	ALAS2	<|PhenoGemini-Special-Token-Entrez-ID-212|>
1756	DMD	<|PhenoGemini-Special-Token-Entrez-ID-1756|>
3815	KIT	<|PhenoGemini-Special-Token-Entrez-ID-3815|>
348	APOE	<|PhenoGemini-Special-Token-Entrez-ID-348|>
6609	SMPD1	<|PhenoGemini-Special-Token-Entrez-ID-6609|>
411	ARSB	<|PhenoGemini-Special-Token-Entrez-ID-411|>
6523	SLC5A1	<|PhenoGemini-Special-Token-Entrez-ID-6523|>
2243	FGA	<|PhenoGemini-Special-Token-Entrez-ID-2243|>
7276	TTR	<|PhenoGemini-Special-Token-Entrez-ID-7276|>
1201	CLN3	<|PhenoGemini-Special-Token-Entrez-ID-1201|>
25	BCR-ABL	<|PhenoGemini-Special-Token-Entrez-ID-25|>
4893	NRAS	<|PhenoGemini-Special-Token-Entrez-ID-4893|>
3845	KRAS	<|PhenoGemini-Special-Token-Entrez-ID-3845|>
2706	GJB2	<|PhenoGemini-Special-Token-Entrez-ID-2706|>
1080	CFTR	<|PhenoGemini-Special-Token-Entrez-ID-1080|>
5621	PRNP	<|PhenoGemini-Special-Token-Entrez-ID-5621|>
1861	TOR1A	<|PhenoGemini-Special-Token-Entrez-ID-1861|>
