pmid	omim_id	label	reviewer_label	status	rrf_score
6472469	OMIM:120100	no	i dont know	success	0.9
5614860	OMIM:133200	no	i dont know	success	0.9
6192656	OMIM:148700	no	i dont know	success	0.9
12013910	OMIM:157640	no	i dont know	success	0.9
34032274	OMIM:164200	no	i dont know	success	0.9
1694376	OMIM:167800	no	i dont know	success	0.9
17210804	OMIM:172700	no	i dont know	success	0.9
5834384	OMIM:185800	yes	i dont know	success	0.9
15060996	OMIM:220100	no	i dont know	success	0.9
177009	OMIM:229600	no	i dont know	success	0.9
7909476	OMIM:243700	no	i dont know	success	0.9
23918133	OMIM:260920	no	i dont know	success	0.9
460079	OMIM:300018	yes	i dont know	success	0.9
3498991	OMIM:600376	no	i dont know	success	0.9
9577958	OMIM:601367	no	i dont know	success	0.9
26120156	OMIM:601606	yes	i dont know	success	0.9
34373074	OMIM:601820	yes	i dont know	success	0.9
26347367	OMIM:604403	no	i dont know	success	0.9
37548842	OMIM:612463	no	i dont know	success	0.9
5118092	OMIM:612908	no	i dont know	success	0.9
1361938	OMIM:614172	yes	i dont know	success	0.9
5939099	OMIM:617936	yes	i dont know	success	0.9
9200660	OMIM:618856	no	i dont know	success	0.9
31120894	OMIM:619120	no	i dont know	success	0.9
32626291	OMIM:102500	no	no	success	0.9
7779762	OMIM:103900	no	no	success	0.9
19261516	OMIM:111150	no	no	success	0.9
5636478	OMIM:115430	no	no	success	0.9
29097129	OMIM:119500	no	no	success	0.9
10210836	OMIM:125310	no	no	success	0.9
10213040	OMIM:125800	no	no	success	0.9
8341708	OMIM:133100	no	no	success	0.9
36980941	OMIM:144010	no	no	success	0.9
9551144	OMIM:144200	no	no	success	0.9
7853712	OMIM:144250	no	no	success	0.9
25357537	OMIM:155755	nan	no	no_jtak	0.9
21547462	OMIM:168000	no	no	success	0.9
33745150	OMIM:170650	no	no	success	0.9
19565201	OMIM:173650	no	no	success	0.9
33513864	OMIM:175200	no	no	success	0.9
25566527	OMIM:182900	no	no	success	0.9
1983703	OMIM:186300	no	no	success	0.9
9562511	OMIM:188055	no	no	success	0.9
3140237	OMIM:203100	no	no	success	0.9
30650642	OMIM:208000	no	no	success	0.9
8995302	OMIM:211400	no	no	success	0.9
15048648	OMIM:226980	no	no	success	0.9
21358700	OMIM:227810	no	no	success	0.9
27170636	OMIM:241200	no	no	success	0.9
2851471	OMIM:246200	yes	no	success	0.9
33673864	OMIM:252900	no	no	success	0.9
33361189	OMIM:268400	no	no	success	0.9
8290349	OMIM:278800	no	no	success	0.9
446859	OMIM:300068	no	no	success	0.9
10036323	OMIM:300489	no	no	success	0.9
10892521	OMIM:304790	no	no	success	0.9
18255011	OMIM:304800	no	no	success	0.9
32033971	OMIM:600512	no	no	success	0.9
20616732	OMIM:601001	no	no	success	0.9
423096	OMIM:602481	no	no	success	0.9
38788816	OMIM:603285	no	no	success	0.9
8837030	OMIM:603776	no	no	success	0.9
17803033	OMIM:607060	no	no	success	0.9
15773337	OMIM:607151	no	no	success	0.9
25803076	OMIM:607616	no	no	success	0.9
19547970	OMIM:607634	no	no	success	0.9
12434718	OMIM:608902	no	no	success	0.9
9558465	OMIM:609040	no	no	success	0.9
31294445	OMIM:610951	no	no	success	0.9
19766879	OMIM:614892	nan	no	no_jtak	0.9
27465306	OMIM:615221	no	no	success	0.9
36248040	OMIM:616329	no	no	success	0.9
22000399	OMIM:620699	no	no	success	0.9
12457999	OMIM:617883	no	no	success	0.9
6667926	OMIM:105200	yes	yes	success	0.9
12472431	OMIM:135290	yes	yes	success	0.9
27264819	OMIM:147950	yes	yes	success	0.9
27838608	OMIM:162300	yes	yes	success	0.9
32477997	OMIM:186500	yes	yes	success	0.9
11509867	OMIM:207410	yes	yes	success	0.9
3492354	OMIM:219080	no	yes	success	0.9
13867121	OMIM:232500	yes	yes	success	0.9
1642242	OMIM:253800	yes	yes	success	0.9
19757195	OMIM:256370	no	yes	success	0.9
1684701	OMIM:263200	yes	yes	success	0.9
11405873	OMIM:274600	yes	yes	success	0.9
8239570	OMIM:300048	no	yes	success	0.9
1871712	OMIM:300807	yes	yes	success	0.9
19827596	OMIM:300894	yes	yes	success	0.9
29649853	OMIM:301500	no	yes	success	0.9
2901224	OMIM:306900	yes	yes	success	0.9
2822858	OMIM:601539	yes	yes	success	0.9
21342026	OMIM:605115	no	yes	success	0.9
36631043	OMIM:606176	yes	yes	success	0.9
